id,eventDate,number,prizeThirdNumber,prizeType,eventType,eventLetters,eventSerie,eventFolio
2011-12-11S,2011-12-11,9971,7,S,Dominical,AACD,8,1
2011-12-11T,2011-12-11,5967,6,T,Dominical,AACD,8,1
2011-12-14F,2011-12-14,7831,3,F,Intermedio,CCAD,1,13
2011-12-14S,2011-12-14,3854,5,S,Intermedio,CCAD,1,13
2011-12-14T,2011-12-14,3117,1,T,Intermedio,CCAD,1,13
2011-12-18F,2011-12-18,2666,6,F,Extraordinaria,DCAC,1,1
2011-12-18S,2011-12-18,92916,1,S,Extraordinaria,DCAC,1,1
2011-12-18T,2011-12-18,73652,5,T,Extraordinaria,DCAC,1,1
2011-12-21F,2011-12-21,8168,6,F,Intermedio,CCDA,10,10
2011-12-21S,2011-12-21,7209,0,S,Intermedio,CCDA,10,10
2011-12-21T,2011-12-21,0978,7,T,Intermedio,CCDA,10,10
2011-12-24F,2011-12-24,591,9,F,Dominical,BCAD,12,6
2011-12-24S,2011-12-24,3460,6,S,Dominical,BCAD,12,6
2011-12-24T,2011-12-24,3477,7,T,Dominical,BCAD,12,6
2011-12-28F,2011-12-28,6302,0,F,Intermedio,BABD,15,14
2011-12-28S,2011-12-28,3093,9,S,Intermedio,BABD,15,14
2011-12-28T,2011-12-28,7359,5,T,Intermedio,BABD,15,14
2011-12-30F,2011-12-30,9158,5,F,Zodiaco,BACA,8,1
2011-12-30S,2011-12-30,44,4,S,Zodiaco,BACA,8,1
2011-12-30T,2011-12-30,96,9,T,Zodiaco,BACA,8,1
2012-01-02F,2012-01-02,4904,0,F,Dominical,ADDD,6,4
2012-01-02S,2012-01-02,2191,9,S,Dominical,ADDD,6,4
2012-01-02T,2012-01-02,0920,2,T,Dominical,ADDD,6,4
2012-01-05F,2012-01-05,6492,9,F,Intermedio,ABAC,13,12
2012-01-05S,2012-01-05,1210,1,S,Intermedio,ABAC,13,12
2012-01-05T,2012-01-05,5648,4,T,Intermedio,ABAC,13,12
2012-01-08F,2012-01-08,25,2,F,Dominical,CCCB,12,15
2012-01-08S,2012-01-08,3591,9,S,Dominical,CCCB,12,15
2012-01-08T,2012-01-08,2099,9,T,Dominical,CCCB,12,15
2012-01-11F,2012-01-11,1147,4,F,Intermedio,CDDC,7,12
2012-01-11S,2012-01-11,7003,0,S,Intermedio,CDDC,7,12
2012-01-11T,2012-01-11,6835,3,T,Intermedio,CDDC,7,12
2012-01-15F,2012-01-15,7401,0,F,Dominical,CCBB,19,15
2012-01-15S,2012-01-15,5885,8,S,Dominical,CCBB,19,15
2012-01-15T,2012-01-15,2550,5,T,Dominical,CCBB,19,15
2012-01-18F,2012-01-18,1539,3,F,Intermedio,CDDB,15,7
2012-01-18S,2012-01-18,6085,8,S,Intermedio,CDDB,15,7
2012-01-18T,2012-01-18,9737,3,T,Intermedio,CDDB,15,7
2012-01-22F,2012-01-22,1182,8,F,Dominical,CCAB,2,10
2012-01-22S,2012-01-22,5576,7,S,Dominical,CCAB,2,10
2012-01-22T,2012-01-22,4057,5,T,Dominical,CCAB,2,10
2012-01-25F,2012-01-25,983,8,F,Intermedio,AACB,13,9
2012-01-25S,2012-01-25,7486,8,S,Intermedio,AACB,13,9
2012-01-25T,2012-01-25,7778,7,T,Intermedio,AACB,13,9
2012-01-27F,2012-01-27,6366,6,F,Zodiaco,ADCB,7,1
2012-01-27S,2012-01-27,13,1,S,Zodiaco,ADCB,7,1
2012-01-27T,2012-01-27,94,9,T,Zodiaco,ADCB,7,1
2012-01-29F,2012-01-29,3391,9,F,Dominical,ACCA,19,9
2012-01-29S,2012-01-29,6981,8,S,Dominical,ACCA,19,9
2012-01-29T,2012-01-29,9767,6,T,Dominical,ACCA,19,9
